Location,Unique_Id,row,col,Genotype,PlHa,PHI,YdHa,YdPl,SW,PSN,SWP,HI,VPP,StWP,PlHa_cat
INV-M3-1,20GH2CA607,6,21,GCDT_078,5.0,67.4267101,603.75,2.898,0.22640625,1.391304348,0.315,27.90832049,4.0,30.43,2.0
INV-M3-1,20GH2CA662,19,23,GCDT_060,4.0,72.13930348,604.1666667,3.625,0.138095238,2.56097561,0.35365853658536583,49.18588874,14.0,9.38,1.0
INV-M3-1,20GH2CA762,14,26,GCDT_274,4.0,76.81770285,607.5,3.645,0.231428571,3.5,0.81,39.04659882,50.0,18.36,1.0
INV-M3-1,20GH2CA792,25,27,GCDT_298,5.0,73.3935743,609.1666667,2.924,0.200273973,2.703703704,0.5414814814814815,53.57273727,5.0,7.37,2.0
INV-M3-1,20GH2CA609,4,21,GCDT_012,5.0,68.94934334,612.5,2.94,0.237096774,1.823529412,0.43235294117647055,45.21685635,1.0,11.19,2.0
INV-M3-1,20GH2CA612,1,21,GCDT_257,5.0,76.33196721,620.8333333,2.98,0.244262295,1.967741935,0.4806451612903226,54.43916697,1.0,7.85,2.0
INV-M3-1,20GH2CA715,34,25,GCDT_226,5.0,61.17695137,623.75,2.994,0.178214286,2.8,0.499,24.43682664,3.0,36.79,2.0
INV-M3-1,20GH2CA797,20,27,GCDT_166,4.0,59.3206951,625.8333333,3.755,0.214571429,1.458333333,0.3129166666666667,21.93661458,11.0,43.15,1.0
INV-M3-1,20GH2CA706,26,24,GCDT_098,4.0,80.94471283,628.3333333,3.77,0.17952381,3.818181818,0.6854545454545454,45.65546473,8.0,14.4,1.0
INV-M3-1,20GH2CA426,18,16,GCDT_230,4.0,78.72340426,632.0833333,3.7925,0.161382979,2.9375,0.4740625,60.80160321,3.0,5.68,1.0
INV-M3-1,20GH2CA673,8,23,GCDT_285,5.0,73.19291527,637.0833333,3.058,0.201184211,2.814814815,0.5662962962962963,51.22278057,9.0,8.96,2.0
INV-M3-1,20GH2CA619,7,22,GCDT_177,4.0,70.3196347,641.6666667,3.85,0.240625,2.37037037,0.5703703703703704,51.64319249,2.0,7.92,1.0
INV-M3-1,20GH2CA776,28,26,GCDT_248,4.0,76.65176354,642.9166667,3.8575,0.128583333,3.636363636,0.4675757575757576,59.27775643,3.0,5.9,1.0
INV-M3-1,20GH2CA670,11,23,SEF_060,4.0,67.65475153,646.6666667,3.88,0.194,2.666666667,0.5173333333333333,43.42473419,7.0,12.8,1.0
INV-M3-1,20GH2CA572,28,20,GCDT_132,4.0,78.38109603,649.5833333,3.8975,0.239846154,4.0625,0.974375,33.31908527,22.0,26.9,1.0
INV-M3-1,20GH2CA553,9,20,GCDT_218,4.0,78.04878049,666.6666667,4.0,0.19047619,3.111111111,0.5925925925925926,59.52380952,9.0,6.38,1.0
INV-M3-1,20GH2CA526,19,19,GCDT_048,4.0,61.11322913,667.9166667,4.0075,0.14706422,2.096153846,0.3082692307692308,38.32177863,5.0,15.6,1.0
INV-M3-1,20GH2CA452,25,17,GCDT_204,5.0,63.22428065,668.3333333,3.208,0.158811881,1.603174603,0.2546031746031746,30.9831949,7.0,26.4,2.0
