,HI_M3-Ambiente,PHI_M3-Ambiente,PSN_M3-Ambiente,SW_M3-Ambiente,SWP_M3-Ambiente,StWP_M3-Ambiente,VPP_M3-Ambiente,YdHa_M3-Ambiente,YdPl_M3-Ambiente,HI_INV-M3-1,PHI_INV-M3-1,PSN_INV-M3-1,SW_INV-M3-1,SWP_INV-M3-1,StWP_INV-M3-1,VPP_INV-M3-1,YdHa_INV-M3-1,YdPl_INV-M3-1,HI_INV-M3-2,PHI_INV-M3-2,PSN_INV-M3-2,SW_INV-M3-2,SWP_INV-M3-2,StWP_INV-M3-2,VPP_INV-M3-2,YdHa_INV-M3-2,YdPl_INV-M3-2,PHI_Caribia,YdHa_Caribia,YdPl_Caribia,PHI_Espinal,SW_Espinal,YdHa_Espinal,YdPl_Espinal
GCDT_206,NA,NA,NA,NA,NA,8.746,NA,NA,NA,12.879,46.206,1.746,0.14,0.281,32.711,13.184,490.476,2.628,18.273,58.248,1.935,0.173,0.352,40.097,14.009,457.022,3.788,66.959,131.188,2.071,74.976,0.267,1103.499,11.179
GCDT_207,NA,NA,NA,NA,NA,5.735,NA,NA,NA,NA,NA,NA,NA,NA,19.24,NA,1130.606,6.218,NA,NA,NA,NA,NA,19.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCDT_208,33.446,65.22,1.712,0.184,0.281,7.828,3.658,410.461,2.957,46.712,71.015,2.412,0.219,0.509,25.507,13.255,1351.544,7.214,29.898,64.711,1.9,0.198,0.368,16.981,15.901,346.052,3.924,67.693,120.078,2.2,77.906,0.233,1231.498,13.15
GCDT_209,37.479,65.365,2.164,0.198,0.384,15.2,3.506,754.231,5.363,26.995,60.671,2.059,0.193,0.398,31.947,13.23,856.294,5.172,28.565,61.979,1.85,0.25,0.434,26.902,5.05,569.684,5.024,NA,NA,NA,NA,NA,NA,NA
GCDT_210,64.03,77.003,3.801,0.217,0.857,9.794,NA,1572.266,10.221,NA,NA,NA,NA,NA,22.819,13.171,NA,NA,61.656,71.799,3.295,0.233,0.799,8.311,6.806,1131.736,7.923,NA,NA,NA,NA,NA,NA,NA
GCDT_211,61.618,76.695,3.153,0.226,0.751,7.824,NA,1187.546,9.209,54.897,79.021,2.985,0.237,0.703,25.272,13.555,1559.537,8.135,61.503,81.649,3.43,0.253,0.864,12.209,5.998,1398.171,9.206,74.743,246.014,3.236,81.087,0.228,1385.265,14.409
GCDT_212,61.464,75.425,3.134,0.21,0.657,6.585,3.509,1153.475,9.291,43.447,79.237,2.353,0.325,0.724,28.587,13.074,1193.161,6.47,NA,NA,NA,NA,NA,19.945,19.709,NA,NA,71.032,152.396,2.545,77.76,0.222,1234.276,13.034
GCDT_213,43.206,69.593,2.414,0.203,0.437,11.605,3.874,682.496,5.001,42.382,70.915,2.114,0.243,0.507,26.03,13.438,1236.467,6.708,50.062,70.802,NA,NA,0.631,19.089,4.944,1286.441,8.213,70.641,118.167,2.381,74.959,0.248,827.362,8.894
GCDT_214,44.458,74.381,3.986,0.19,0.738,14.149,3.473,769.902,5.182,30.728,63.385,2.509,0.239,0.611,37.511,14.369,1117.322,6.259,46.805,79.162,2.77,0.258,0.712,23.951,8.518,1196.75,8.188,NA,NA,NA,NA,NA,NA,NA
GCDT_215,49.708,71.479,3.156,0.2,0.608,14.463,4.053,1016.97,6.59,45.468,79.239,3.396,0.275,0.928,27.397,NA,1299.511,7.111,40.387,72.482,2.706,0.247,0.642,36.866,NA,1110.898,7.45,NA,NA,NA,77.894,0.236,1043.622,10.694
GCDT_216,54.904,71.541,3.071,0.212,0.607,7.223,3.51,864.774,5.774,40.357,70.958,2.503,0.209,0.516,30.422,13.263,1194.129,6.587,50.151,72.133,3.032,0.239,0.716,20.167,8.547,1305.325,10.847,NA,NA,NA,NA,NA,NA,NA
GCDT_217,61.8,74.777,4.053,0.184,0.79,8.83,3.628,1452.811,9.708,47.979,74.527,2.882,0.208,0.596,20.202,13.113,1078.492,6.064,54.203,75.383,3.085,0.234,0.733,19.147,5.328,1290.243,8.64,67.397,113.519,2.041,78.132,0.228,1298.137,14.367
